119.21,436.83,180.79,436.83,180.79,446.83,119.21,446.83,527 Cafe
105.16,425.83,194.84,425.83,194.84,435.83,105.16,435.83,527 Davis St
96.31,414.83,203.69,414.83,203.69,424.83,96.31,424.83,(847) 332-2233
26,393.83,52.56,393.83,52.56,403.83,26,403.83,QTY
57,393.83,94.89,393.83,94.89,403.83,57,403.83,NAME
224.54,393.83,274.0,393.83,274.0,403.83,224.54,403.83,Amount
26,371.83,31.56,371.83,31.56,381.83,26,381.83,1
57,371.83,100.9,371.83,100.9,381.83,57,381.83,cusine
228.42,371.83,274.0,371.83,274.0,381.83,228.42,381.83,$29.99
26,360.83,31.56,360.83,31.56,370.83,26,370.83,2
57,360.83,100.9,360.83,100.9,370.83,57,370.83,cusine
228.42,360.83,274.0,360.83,274.0,370.83,228.42,370.83,$23.98
26,349.83,31.56,349.83,31.56,359.83,26,359.83,1
57,349.83,100.9,349.83,100.9,359.83,57,359.83,cusine
236.98,349.83,274.0,349.83,274.0,359.83,236.98,359.83,$7.99
26,338.83,31.56,338.83,31.56,348.83,26,348.83,1
57,338.83,100.9,338.83,100.9,348.83,57,348.83,cusine
236.98,338.83,274.0,338.83,274.0,348.83,236.98,348.83,$5.99
26,327.83,31.56,327.83,31.56,337.83,26,337.83,2
57,327.83,100.9,327.83,100.9,337.83,57,337.83,cusine
228.42,327.83,274.0,327.83,274.0,337.83,228.42,337.83,$33.98
26,316.83,31.56,316.83,31.56,326.83,26,326.83,3
57,316.83,100.9,316.83,100.9,326.83,57,326.83,cusine
228.42,316.83,274.0,316.83,274.0,326.83,228.42,326.83,$62.97
26,294.83,89.47,294.83,89.47,304.83,26,304.83,Subtotal:
228.42,294.83,274.0,294.83,274.0,304.83,228.42,304.83,$164.9
26,283.83,54.45,283.83,54.45,293.83,26,293.83,Tax:
228.42,283.83,274.0,283.83,274.0,293.83,228.42,293.83,$16.49
26,261.83,66.01,261.83,66.01,271.83,26,271.83,Total:
219.86,261.83,274.0,261.83,274.0,271.83,219.86,271.83,$181.39
76.58,210.83,223.42,210.83,223.42,220.83,76.58,220.83,2018-02-06 23:54:37
114.66,94.12,185.34,94.12,185.34,104.12,114.66,104.12,Thank you
