110.3,80.16,189.7,80.16,189.7,89.16,110.3,89.16,Kabul House
91.8,90.16,208.2,90.16,208.2,99.16,91.8,99.16,2424 Dempster St
99.2,100.16,200.8,100.16,200.8,109.16,99.2,109.16,(847) 674-3830
15,120.16,35.2,120.16,35.2,129.16,15,129.16,QTY
42,120.16,69.6,120.16,69.6,129.16,42,129.16,NAME
242.6,120.16,285.0,120.16,285.0,129.16,242.6,129.16,Amount
15,140.16,20.4,140.16,20.4,149.16,15,149.16,1
42,140.16,84.4,140.16,84.4,149.16,42,149.16,cusine
242.6,140.16,285.0,140.16,285.0,149.16,242.6,149.16,$19.99
15,150.16,20.4,150.16,20.4,159.16,15,159.16,1
42,150.16,84.4,150.16,84.4,159.16,42,159.16,cusine
242.6,150.16,285.0,150.16,285.0,159.16,242.6,159.16,$12.99
15,160.16,20.4,160.16,20.4,169.16,15,169.16,2
42,160.16,84.4,160.16,84.4,169.16,42,169.16,cusine
242.6,160.16,285.0,160.16,285.0,169.16,242.6,169.16,$41.98
15,170.16,20.4,170.16,20.4,179.16,15,179.16,1
42,170.16,84.4,170.16,84.4,179.16,42,179.16,cusine
242.6,170.16,285.0,170.16,285.0,179.16,242.6,179.16,$18.99
15,180.16,20.4,180.16,20.4,189.16,15,189.16,1
42,180.16,84.4,180.16,84.4,189.16,42,189.16,cusine
250.0,180.16,285.0,180.16,285.0,189.16,250.0,189.16,$9.99
15,200.16,79.6,200.16,79.6,209.16,15,209.16,Subtotal:
235.2,200.16,285.0,200.16,285.0,209.16,235.2,209.16,$203.88
15,210.16,42.6,210.16,42.6,219.16,15,219.16,Tax:
242.6,210.16,285.0,210.16,285.0,219.16,242.6,219.16,$20.39
15,230.16,57.4,230.16,57.4,239.16,15,239.16,Total:
235.2,230.16,285.0,230.16,285.0,239.16,235.2,239.16,$224.27
15,250.16,138.8,250.16,138.8,259.16,15,259.16,MASTERCARD CREDIT
250.0,250.16,285.0,250.16,285.0,259.16,250.0,259.16,*1268
80.7,300.16,219.3,300.16,219.3,309.16,80.7,309.16,2018-10-10 10:29:56
117.7,415.86,182.3,415.86,182.3,424.86,117.7,424.86,Thank you
