39.8,24.0,255.2,24.0,255.2,33.0,39.8,33.0,Anto Pizza & Pasta Chicago
94.4,37.0,200.6,37.0,200.6,46.0,94.4,46.0,1547 W Jarvis
90.2,50.0,204.8,50.0,204.8,59.0,90.2,59.0,(773) 942-7427
22,73.0,27.4,73.0,27.4,82.0,22,82.0,2
51,73.0,98.4,73.0,98.4,82.0,51,82.0,cusine
225.6,73.0,273.0,73.0,273.0,82.0,225.6,82.0,$45.98
22,86.0,27.4,86.0,27.4,95.0,22,95.0,1
51,86.0,98.4,86.0,98.4,95.0,51,95.0,cusine
225.6,86.0,273.0,86.0,273.0,95.0,225.6,95.0,$26.99
22,112.0,94.6,112.0,94.6,121.0,22,121.0,Subtotal:
217.2,112.0,273.0,112.0,273.0,121.0,217.2,121.0,$158.94
22,125.0,52.6,125.0,52.6,134.0,22,134.0,Tax:
225.6,125.0,273.0,125.0,273.0,134.0,225.6,134.0,$15.89
22,151.0,69.4,151.0,69.4,160.0,22,160.0,Total:
217.2,151.0,273.0,151.0,273.0,160.0,217.2,160.0,$174.83
22,177.0,128.2,177.0,128.2,186.0,22,186.0,AMEX (SWIPED)
234.0,177.0,273.0,177.0,273.0,186.0,234.0,186.0,*6539
69.2,230.0,225.8,230.0,225.8,239.0,69.2,239.0,2018-08-11 11:40:57
111.2,348.71,183.8,348.71,183.8,357.71,111.2,357.71,Thank you
