55.3,24.0,245.7,24.0,245.7,33.0,55.3,33.0,Litehouse Whole Food Grill
99.7,35.0,201.3,35.0,201.3,44.0,99.7,44.0,1823 Church St
151.5,46.0,149.5,46.0,149.5,55.0,151.5,55.0,
22,67.0,27.4,67.0,27.4,76.0,22,76.0,1
49,67.0,91.4,67.0,91.4,76.0,49,76.0,cusine
244.0,67.0,279.0,67.0,279.0,76.0,244.0,76.0,$9.99
22,78.0,27.4,78.0,27.4,87.0,22,87.0,1
49,78.0,91.4,78.0,91.4,87.0,49,87.0,cusine
244.0,78.0,279.0,78.0,279.0,87.0,244.0,87.0,$9.99
22,100.0,86.6,100.0,86.6,109.0,22,109.0,Subtotal:
236.6,100.0,279.0,100.0,279.0,109.0,236.6,109.0,$75.94
22,111.0,49.6,111.0,49.6,120.0,22,120.0,Tax:
244.0,111.0,279.0,111.0,279.0,120.0,244.0,120.0,$7.59
22,133.0,64.4,133.0,64.4,142.0,22,142.0,Total:
236.6,133.0,279.0,133.0,279.0,142.0,236.6,142.0,$83.53
22,155.0,145.8,155.0,145.8,164.0,22,164.0,MASTERCARD (CHIP)
244.0,155.0,279.0,155.0,279.0,164.0,244.0,164.0,*7653
81.2,206.0,219.8,206.0,219.8,215.0,81.2,215.0,2018-08-28 18:06:07
118.2,322.71,182.8,322.71,182.8,331.71,118.2,331.71,Thank you
